,s20230217014,s20230217015,s20230217016,s20230217017,s20230217018,s20230217019,s20230217020,s20230217021,s20230217022,s20230217054,s20230217055,s20230217056,s20230217057,s20230217058,s20230217059,s20230217060,s20230217061,s20230217095,s20230217097,s20230217098,s20230217099,s20230217100,s20230217101,s20230217102,s20230217103
C17H19O13P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.2182882508102,14.2182882508102,NA,14.2182882508102,14.2182882508102,14.2182882508102,14.2182882508102
C16H21O13P1,NA,10.7658694295076,10.7658694295076,10.7658694295076,NA,10.7658694295076,NA,10.7658694295076,10.7658694295076,NA,NA,NA,NA,NA,NA,NA,NA,10.7658694295076,10.7658694295076,10.7658694295076,10.7658694295076,10.7658694295076,10.7658694295076,10.7658694295076,10.7658694295076
C17H21O14P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.44447739047054,NA,3.44447739047054,3.44447739047054,3.44447739047054,3.44447739047054,3.44447739047054,3.44447739047054
C15H19O14P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.81293023242935,NA,6.81293023242935,NA,6.81293023242935,6.81293023242935,6.81293023242935,6.81293023242935
C16H21O14P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.01173850362274,3.01173850362274,NA,3.01173850362274,3.01173850362274,3.01173850362274,3.01173850362274,3.01173850362274
C14H17O13P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.16352913680565,3.16352913680565,3.16352913680565,3.16352913680565,3.16352913680565,3.16352913680565,3.16352913680565
C14H17O14P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1931168038838,13.1931168038838,13.1931168038838,NA,13.1931168038838,13.1931168038838,13.1931168038838,13.1931168038838
C15H17O14P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.20035935818285,4.20035935818285,4.20035935818285,4.20035935818285,4.20035935818285,4.20035935818285,4.20035935818285,4.20035935818285
C14H19O13P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.47010594983415,NA,8.47010594983415,8.47010594983415,8.47010594983415,8.47010594983415,8.47010594983415
C15H21O14P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5047185212726,NA,NA,9.5047185212726,9.5047185212726,9.5047185212726,9.5047185212726
C21H25O14P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.00334713694654,9.00334713694654,9.00334713694654,9.00334713694654,9.00334713694654,NA,9.00334713694654
